Lead I,Lead II,Lead III,Lead aVR,Lead aVL,Lead aVF,Lead V1,Lead V2,Lead V3,Lead V4,Lead V5,Lead V6
757.0,726.0,320.0,213.0,567.0,353.0,1258.0,1544.0,116.0,2345.0,1529.0,883.0
748.0,716.0,320.0,227.0,562.0,343.0,1329.0,1645.0,50.0,2348.0,1523.0,883.0
748.0,704.0,308.0,244.0,556.0,333.0,1401.0,1733.0,34.0,2345.0,1523.0,883.0
762.0,704.0,294.0,254.0,541.0,338.0,1454.0,1808.0,31.0,2345.0,1526.0,879.0
779.0,723.0,295.0,255.0,553.0,325.0,1476.0,1901.0,78.0,2345.0,1523.0,876.0
774.0,718.0,295.0,245.0,550.0,338.0,1426.0,1954.0,181.0,2338.0,1520.0,873.0
776.0,723.0,298.0,243.0,545.0,345.0,1351.0,1983.0,341.0,2332.0,1517.0,870.0
759.0,727.0,319.0,236.0,544.0,353.0,1239.0,1979.0,550.0,2335.0,1526.0,876.0
764.0,732.0,320.0,238.0,541.0,355.0,1120.0,1908.0,809.0,2332.0,1523.0,870.0
751.0,735.0,336.0,229.0,550.0,355.0,970.0,1754.0,1003.0,2332.0,1520.0,864.0
745.0,738.0,345.0,224.0,554.0,355.0,813.0,1589.0,1172.0,2332.0,1517.0,870.0
737.0,718.0,333.0,221.0,561.0,351.0,713.0,1503.0,1334.0,2332.0,1523.0,873.0
745.0,710.0,317.0,230.0,542.0,361.0,625.0,1475.0,1541.0,2338.0,1529.0,876.0
748.0,718.0,321.0,243.0,536.0,353.0,557.0,1482.0,1859.0,2341.0,1526.0,879.0
754.0,729.0,326.0,244.0,523.0,365.0,513.0,1494.0,2123.0,2345.0,1523.0,876.0
757.0,728.0,322.0,232.0,544.0,358.0,488.0,1466.0,2220.0,2345.0,1526.0,873.0
760.0,713.0,304.0,210.0,569.0,355.0,494.0,1438.0,2217.0,2345.0,1523.0,870.0
767.0,724.0,309.0,208.0,557.0,367.0,488.0,1391.0,2163.0,2335.0,1517.0,864.0
760.0,732.0,323.0,214.0,545.0,373.0,488.0,1332.0,2092.0,2338.0,1517.0,858.0
765.0,733.0,320.0,211.0,537.0,385.0,532.0,1310.0,2060.0,2338.0,1517.0,864.0
770.0,738.0,320.0,216.0,532.0,384.0,569.0,1313.0,2035.0,2338.0,1517.0,864.0
751.0,732.0,333.0,219.0,531.0,383.0,603.0,1313.0,2004.0,2335.0,1520.0,867.0
742.0,723.0,333.0,221.0,523.0,389.0,638.0,1313.0,1998.0,2332.0,1517.0,870.0
759.0,726.0,319.0,225.0,520.0,388.0,653.0,1310.0,1985.0,2329.0,1517.0,864.0
776.0,729.0,304.0,226.0,537.0,370.0,650.0,1288.0,1967.0,2332.0,1517.0,864.0
785.0,727.0,293.0,229.0,534.0,369.0,647.0,1272.0,1945.0,2335.0,1513.0,864.0
782.0,732.0,301.0,229.0,545.0,359.0,632.0,1238.0,1928.0,2338.0,1517.0,870.0
805.0,738.0,284.0,216.0,558.0,358.0,603.0,1194.0,1900.0,2338.0,1523.0,876.0
829.0,745.0,267.0,199.0,576.0,358.0,575.0,1157.0,1884.0,2338.0,1517.0,870.0
822.0,743.0,273.0,198.0,580.0,355.0,553.0,1110.0,1847.0,2338.0,1517.0,870.0
810.0,732.0,273.0,205.0,569.0,359.0,525.0,1075.0,1816.0,2338.0,1517.0,864.0
772.0,733.0,313.0,227.0,537.0,370.0,525.0,1063.0,1816.0,2335.0,1513.0,864.0
751.0,732.0,333.0,232.0,520.0,381.0,525.0,1050.0,1816.0,2332.0,1523.0,864.0
720.0,735.0,367.0,227.0,534.0,371.0,519.0,1053.0,1819.0,2341.0,1523.0,867.0
701.0,735.0,386.0,221.0,537.0,375.0,519.0,1050.0,1828.0,2338.0,1523.0,870.0
697.0,728.0,383.0,226.0,539.0,368.0,519.0,1050.0,1837.0,2335.0,1517.0,873.0
692.0,723.0,383.0,214.0,550.0,368.0,519.0,1050.0,1853.0,2332.0,1510.0,864.0
721.0,724.0,354.0,211.0,548.0,374.0,513.0,1057.0,1856.0,2332.0,1510.0,864.0
754.0,723.0,320.0,208.0,553.0,371.0,507.0,1063.0,1866.0,2338.0,1517.0,870.0
759.0,727.0,319.0,206.0,562.0,365.0,503.0,1053.0,1872.0,2335.0,1510.0,870.0
742.0,726.0,336.0,198.0,575.0,361.0,500.0,1057.0,1878.0,2332.0,1517.0,876.0
749.0,726.0,328.0,197.0,576.0,360.0,494.0,1057.0,1891.0,2332.0,1517.0,876.0
748.0,726.0,329.0,182.0,592.0,359.0,494.0,1057.0,1891.0,2332.0,1517.0,876.0
767.0,733.0,318.0,188.0,586.0,359.0,491.0,1063.0,1900.0,2323.0,1507.0,867.0
770.0,735.0,317.0,183.0,603.0,346.0,488.0,1069.0,1909.0,2320.0,1504.0,864.0
769.0,726.0,309.0,183.0,607.0,342.0,488.0,1069.0,1919.0,2323.0,1501.0,858.0
767.0,726.0,311.0,198.0,594.0,342.0,488.0,1069.0,1922.0,2326.0,1504.0,864.0
782.0,740.0,309.0,199.0,574.0,360.0,488.0,1069.0,1916.0,2323.0,1504.0,864.0
810.0,748.0,289.0,189.0,572.0,371.0,488.0,1069.0,1922.0,2320.0,1510.0,858.0
798.0,758.0,312.0,196.0,554.0,383.0,488.0,1069.0,1912.0,2316.0,1513.0,867.0
798.0,766.0,320.0,198.0,547.0,389.0,488.0,1069.0,1903.0,2320.0,1517.0,870.0
805.0,748.0,294.0,191.0,559.0,384.0,485.0,1066.0,1912.0,2313.0,1510.0,873.0
807.0,741.0,286.0,182.0,554.0,396.0,488.0,1069.0,1916.0,2313.0,1510.0,870.0
798.0,740.0,293.0,211.0,522.0,400.0,485.0,1066.0,1906.0,2320.0,1517.0,867.0
782.0,741.0,311.0,246.0,492.0,395.0,482.0,1069.0,1909.0,2326.0,1523.0,870.0
765.0,729.0,315.0,252.0,484.0,396.0,488.0,1066.0,1919.0,2326.0,1520.0,873.0
742.0,710.0,320.0,243.0,489.0,401.0,488.0,1057.0,1916.0,2326.0,1517.0,870.0
754.0,729.0,326.0,229.0,506.0,398.0,488.0,1063.0,1919.0,2332.0,1526.0,870.0
770.0,741.0,323.0,214.0,545.0,373.0,488.0,1063.0,1916.0,2338.0,1529.0,870.0
757.0,735.0,329.0,204.0,554.0,375.0,482.0,1050.0,1919.0,2338.0,1535.0,879.0
739.0,732.0,345.0,205.0,559.0,368.0,482.0,1044.0,1916.0,2338.0,1535.0,876.0
755.0,726.0,322.0,197.0,567.0,370.0,475.0,1041.0,1922.0,2335.0,1529.0,879.0
764.0,729.0,317.0,193.0,561.0,380.0,482.0,1044.0,1922.0,2332.0,1529.0,876.0
780.0,733.0,304.0,196.0,564.0,373.0,472.0,1044.0,1925.0,2335.0,1532.0,879.0
804.0,729.0,276.0,199.0,553.0,381.0,469.0,1044.0,1922.0,2332.0,1529.0,876.0
773.0,718.0,297.0,198.0,551.0,384.0,472.0,1041.0,1919.0,2335.0,1529.0,879.0
748.0,710.0,314.0,199.0,544.0,390.0,475.0,1044.0,1916.0,2332.0,1529.0,870.0
760.0,721.0,312.0,204.0,534.0,395.0,478.0,1044.0,1928.0,2329.0,1520.0,873.0
757.0,735.0,329.0,196.0,541.0,396.0,488.0,1050.0,1942.0,2326.0,1523.0,870.0
759.0,737.0,330.0,189.0,552.0,391.0,485.0,1047.0,1931.0,2335.0,1523.0,873.0
757.0,735.0,329.0,189.0,548.0,395.0,488.0,1044.0,1928.0,2338.0,1523.0,876.0
773.0,735.0,314.0,201.0,536.0,395.0,482.0,1050.0,1922.0,2332.0,1526.0,864.0
789.0,735.0,298.0,216.0,528.0,389.0,488.0,1044.0,1928.0,2338.0,1529.0,864.0
776.0,736.0,312.0,226.0,523.0,384.0,488.0,1044.0,1922.0,2332.0,1523.0,879.0
767.0,735.0,320.0,224.0,522.0,387.0,488.0,1044.0,1922.0,2326.0,1517.0,876.0
757.0,731.0,325.0,216.0,527.0,390.0,482.0,1047.0,1916.0,2329.0,1517.0,873.0
